x,y,sentiment
0.04115802241432499,0.10069629190920971,neutral
0.0874908155300935,0.1863323825983424,negative
0.07854349874815945,0.16814767402927355,positive
0.0841377034567848,0.1497793868008241,negative
0.09282720389387508,0.1745542178109102,positive
0.09790628187790584,0.17975782506981805,negative
0.13976939173582145,0.21061107989003955,positive
0.1506145278694658,0.09875673452535012,negative
0.02518781342262569,0.05538774235427134,positive
0.11279598571413697,0.09264411735090795,negative
0.04115802241432499,0.10069629190920971,neutral
0.0874908155300935,0.1863323825983424,negative
0.07854349874815945,0.16814767402927355,positive
0.0841377034567848,0.1497793868008241,negative
0.09282720389387508,0.1745542178109102,positive
0.09790628187790584,0.17975782506981805,negative
0.13976939173582145,0.21061107989003955,positive
0.1506145278694658,0.09875673452535012,negative
0.02518781342262569,0.05538774235427134,positive
0.11279598571413697,0.09264411735090795,negative
0.10544964830108688,0.26215055275741594,positive
0.07383217601142236,0.11838102993954572,negative
0.04310196490311973,0.08672039031193524,positive
0.09876099863683173,0.20592190507921213,positive
0.031909461162163276,0.0766846853303375,positive
0.04255577923981043,0.08062051216225957,negative
0.05455924607064533,0.10349961498153756,negative
0.10452445438704136,0.08633248121172231,neutral
0.005301011318594701,0.009493869784711161,negative
0.0729979113706127,0.1759023936444151,positive
0.12598563592956344,0.13589513714853013,neutral
0.015109221522277111,0.032642339783218226,negative
0.08315096025564556,0.16480257507818152,positive
0.061462875118796355,0.12313726429266031,negative
0.027200469501224765,0.05041400607456153,positive
0.05075015910297382,0.106850922345351,positive
0.08263661055138626,0.15020995196699713,positive
0.0720295106125145,0.12484157792641282,positive
0.18070729825613205,0.2313681298184706,positive
0.053447387939696715,0.08272910620257733,negative
0.1178881069245872,-0.01517109537135915,positive
0.06974945159762497,0.1534448372540499,positive
0.026776544242910438,0.037492159939743454,negative
0.1721920487350126,0.1345615089492392,negative
0.0622721494745394,0.10604225488590756,negative
0.025348651591665043,0.05701689239886585,positive
0.1245146823883367,0.18911816684544577,positive
0.06093139158020702,0.14040071889530825,neutral
0.058054684931240746,0.14456086462397183,positive
0.055496700945303165,0.08019946992266705,negative
0.053388864134981576,0.13222201547445186,positive
0.034963946483635024,0.06607416250754611,negative
0.06164309704725332,0.10222470550114389,negative
0.07589169913279825,0.06882974123281752,negative
0.1327231144682506,0.08938401060317473,positive
0.05833359720648613,0.02435666056937908,negative
0.02545024436832609,0.043439872558859643,neutral
0.018330116742166995,0.02700031694915617,negative
0.08463574423932858,0.15689691941476883,positive
0.015527643386078477,0.027906876331369648,positive
0.06053816046814382,0.14819800735200736,positive
0.1900838268056218,0.0846841139330782,positive
0.09692852286856413,0.2109219205147701,positive
0.04523465682970674,0.10741032496126618,negative
0.08149250473821198,0.14453264702568266,positive
0.19741041843593896,0.17481215996973365,positive
0.4064930737374417,0.07038648197866242,positive
0.06960461221698436,0.15479737683274467,positive
0.10486974297246955,0.21357603684332788,positive
0.16164300876463986,0.11246545736952038,positive
0.07551185629776458,0.1435275491580242,negative
0.31892391856407876,-0.09720699066006547,positive
0.05565155033757972,0.12173311833957468,positive
0.06550974649832533,0.13260336151609894,positive
0.10520687080292859,0.0907905029680396,negative
0.017620448445126446,0.028747934454190348,positive
0.02213071019294124,0.0545983735065728,negative
0.09127602026026375,0.05543065149772814,positive
0.38057409773933487,0.046203327216822174,positive
0.17849032590508468,-0.06381226062223357,negative
0.051285951945227344,0.11111278909291314,positive
0.0673410702456665,0.1325215936521288,positive
0.12297580613667065,0.23786532174766808,positive
0.028646169437452372,0.061178324904177454,positive
0.08771300829727072,0.16873110490687412,positive
0.13454304187390365,0.14003011956822162,positive
0.13704789040132792,0.12447779661817147,negative
0.018253236323790733,0.03194785344239027,neutral
0.07953791891386654,0.15943505843230188,positive
0.08989004519200551,0.1732236474988039,positive
0.09069764008055237,0.15978954953433694,positive
0.04565703988297292,0.09558272633953213,negative
0.1544670122005541,0.07394460767128187,positive
0.03531870911080321,0.062200731539108316,negative
0.0694057414426766,0.18146157809147725,positive
0.04761071405145174,0.10054633145699622,positive
0.06557616242710046,0.1673388393603721,positive
0.15027978317918433,0.23104198895854813,positive
0.18906194084511033,0.15473635931387725,positive
0.012793863127288006,0.02407645088303762,positive
0.14925773888359758,0.13998441519597302,positive
0.06415813304377287,0.1603178810491869,negative
0.17711056063731254,0.15969767548383793,positive
0.028207215038930002,0.061847454962202356,positive
0.05815932291083061,0.12876056336829625,negative
0.06669768002667514,0.116802975584158,negative
0.027496054641608668,0.04586735794564239,positive
0.05478057178670691,0.10836912449952807,positive
0.1255206920800253,0.23684809259521744,positive
0.2237284015481884,0.2156421581608529,positive
0.05034937413930381,0.0878908822630394,positive
0.06873519770169167,0.15194753854768922,positive
0.11651167833721032,0.10449350685506986,positive
0.017577970685318522,0.03934206117226596,negative
0.14924747261991772,0.12179289067388653,positive
0.11330654308459466,0.2730897030137668,positive
0.00873709901661597,0.015332293263147619,negative
0.06835405600958082,0.15881812524164424,positive
0.04978650877078824,0.12109224666162348,positive
0.007453438166865374,0.011511352028830345,negative
0.034601337342690455,0.08398660404561405,positive
0.10693896051691669,0.2207228327463544,positive
0.12725607313919043,0.12931256861142443,positive
0.10563052394286174,0.1347009092062389,positive
0.08785382047768563,0.20107325850482347,positive
0.043688500327380815,0.08561587710221404,positive
0.05327019641848268,0.10418549358931685,negative
0.10597597803720833,0.048675786930386905,positive
0.029740855937175254,0.06334512045502534,positive
0.21296427404778578,-0.0033238454629126004,positive
0.10916109131854874,0.21966391443596775,positive
0.04837848582514041,0.11164890771726398,positive
0.08061201912599346,0.08286312009596881,positive
0.07849333178849104,0.14953475996753038,positive
0.07864880002645411,0.13619379117596486,positive
0.07994150652336955,0.16132430988273472,positive
0.0455673827458172,0.06512367422514302,positive
0.08184880416813313,0.1732775003234703,positive
0.07834217642165761,0.1371915949346666,positive
0.18748870452420238,-0.014704448220234532,neutral
0.09834535761271732,0.20799775999453352,positive
0.12799961914560765,0.17969979259465146,positive
0.09128499129110863,0.17829524750458053,positive
0.090674830686177,0.19397459258942118,positive
0.061368432529703046,0.1222972917980985,positive
0.10512062585585799,0.2335769091873979,positive
0.13870470334514923,0.21631098476969673,positive
0.20559527469816224,0.23853463044158346,positive
0.13930315618197278,0.21055111042920877,positive
0.06545497454605864,0.11820708168737191,positive
0.016797687068909828,0.03849242145441602,positive
0.09112499872160873,0.16336178223634326,positive
0.06663099872992712,0.16692131173826144,positive
0.06191106124329913,0.1281842596927234,positive
0.14831470330671206,0.12923306743756408,positive
0.05612387547117831,0.10761103129352337,neutral
0.04193149168739683,0.08038977817949002,positive
0.1010089493194312,0.227907087544033,positive
0.11987062241854361,0.2210938689983439,positive
0.10300817317905177,0.0970246287018818,neutral
0.16395604563016541,0.08718843520797354,positive
0.2291219943208798,0.18306729630593785,positive
0.09524084484898511,0.1909092992671667,positive
0.045247292544370814,0.09042159145155429,positive
0.1226225678535386,0.0657375853446634,positive
0.06115844829011316,0.13691458973240875,positive
0.22475520357402612,0.0720654568009912,positive
0.16301722522693937,0.13874172402898302,positive
0.07065317662212488,0.10998526203521136,positive
0.0587835829350855,0.13803507173039561,positive
0.09209303777210696,0.1845428507880265,positive
0.04206736983289376,0.09212980715771539,positive
0.09972396275484835,0.13132675721997694,positive
0.045049014141933075,0.07537131179703738,positive
0.09556905160330391,0.23207710943231966,positive
0.11035734274363423,0.13074403606347074,positive
0.03235111958858397,0.06534024397316981,positive
0.10661154719074102,0.25416533557847704,positive
0.07849546360636317,0.14821445134202052,negative
0.07373901035872248,0.1731666519062082,positive
0.05755712309135907,0.08619448613957123,negative
0.2602057706446732,0.03875038260392492,positive
0.057997075119389306,0.13467880333686114,positive
0.06880490431766546,0.13103690381760758,positive
0.13333134892512202,0.1377315881797971,negative
0.16978044863088193,0.1784230215912709,positive
0.027304345402558685,0.06304263141153454,positive
0.05935128867064799,0.10078012223658167,negative
0.257731312673177,0.09942563261970598,positive
0.03261394718479117,0.06350567760106228,positive
0.05896694350887848,0.14646465549569856,positive
0.06979628588357605,0.12880618733350124,positive
0.14457527106679738,0.19838870091924066,positive
0.09633882359523491,0.20809833295292404,positive
0.0956078866554772,0.18512023082224333,positive
0.3110573484063275,0.054681078547542825,neutral
0.10037446947711166,0.16223216699276924,negative
0.10231603031263155,0.18647306555626852,positive
0.06348985454703757,0.10445914533983064,positive
0.13602910233017898,0.15646377005455614,positive
0.052786514280614275,0.09311843097639952,positive
0.025810450358666664,0.05023915168223639,negative
0.15710126051397713,0.027797248750413325,positive
0.19359556229923702,0.07248539259113032,positive
0.11796902853535121,0.13079021702757165,positive
0.04442901365844137,0.08999680726446374,negative
0.09578944176518868,0.15632553127485843,positive
0.11184192004426882,0.11968740918442325,positive
0.09029536389193318,0.18959221785932126,positive
0.03498704621451564,0.0750122906796904,neutral
0.037331169871373665,0.09325997761153186,positive
0.032237152646879756,0.0627722317149825,neutral
0.08390191598747121,0.18159626380081323,positive
0.041774302579589445,0.10209743929991741,negative
0.06095261273920668,0.16032486709760255,positive
0.03278310468259329,0.05212180823889745,negative
0.21828932021852435,0.17743746808224709,positive
0.042314646836342604,0.0816470766947045,negative
0.10501578399064007,0.2385440444054543,positive
0.10235454159515314,0.160584541843525,positive
0.044301049968049885,0.07349750167829663,positive
0.06785627277141709,0.10316155167753713,positive
0.029795081777949536,0.046168846927959126,positive
0.20234686695478618,0.06883807335621268,positive
0.07691045377706614,0.17572200532610072,positive
0.04089044527393986,0.0906505662053784,positive
0.09839424236337445,0.12200412162509111,negative
0.19425216822360492,0.1337664674214282,positive
0.11312553732782812,0.2203814989637334,positive
0.06198820579956317,0.14008627384093938,positive
0.05156938327766239,0.07493917735113813,positive
0.021600420819336982,0.039859875087720854,positive
0.09816110845780773,0.187938131774413,negative
0.21361031557161073,0.09235586597945318,positive
0.1847206103770938,0.13651839763485543,negative
0.08154691790401122,0.18736359798085805,positive
0.17287554813656456,0.1281349979266487,positive
0.08314067833545945,0.13417101317471922,neutral
0.0296454672285263,0.06121653853929488,positive
0.08421699874261017,0.21456303049724654,positive
0.06560044293453092,0.11503796334522222,negative
0.07634363237958221,0.16000525855934658,positive
0.01485312941867749,0.029733928739432924,neutral
0.1773381183056336,0.22182838878102212,positive
0.13145998596978264,0.16068595013083672,negative
0.045750473130714696,0.0711344807994127,positive
0.07307298416853122,0.050925217306685484,positive
0.07519452104470038,0.14541501364427373,positive
0.07683411857863474,0.14976620548346287,positive
0.2956962589088691,-0.02442358072686498,positive
0.17379611218691376,0.1760681242147286,neutral
0.07657761551295265,0.14196713346765338,positive
