,precision,recall,f1-score,support
negative,0.8108108108108109,0.37037037037037035,0.5084745762711864,81.0
neutral,0.0,0.0,0.0,31.0
positive,0.9168399168399168,0.9943630214205186,0.9540292049756626,887.0
accuracy,0.9129129129129129,0.9129129129129129,0.9129129129129129,0.9129129129129129
macro avg,0.575883575883576,0.4549111305969629,0.4875012604156163,999.0
weighted avg,0.8797924743870689,0.9129129129129129,0.8882986441355143,999.0
